"","YEAR","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","ORIGIN_AIRPORT_ID","OP_CARRIER","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST","DEST_CITY_NAME","DEST_STATE_ABR","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","CANCELLED","DIVERTED","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY","AIRLINE_NAME","AIRPORT_NAME"
"11208",2019,12,3,2,13930,"AA","ORD","Chicago, IL","IL","MCO","Orlando, FL","FL",1455,1453,-2,0,0,1833,1808,-25,0,0,0,0,1005,0,0,0,0,0,"American Airlines Inc.","Chicago, IL: Chicago O'Hare International"
"11209",2019,12,31,2,14057,"AS","PDX","Portland, OR","OR","LAS","Las Vegas, NV","NV",1430,1432,2,2,0,1635,1640,5,5,0,0,0,763,0,0,0,0,0,"Alaska Airlines Inc.","Portland, OR: Portland International"
"11210",2019,12,13,5,14747,"AS","SEA","Seattle, WA","WA","ORD","Chicago, IL","IL",1220,1523,183,183,1,1833,2107,154,154,1,0,0,1721,154,0,0,0,0,"Alaska Airlines Inc.","Seattle, WA: Seattle/Tacoma International"
"11211",2019,12,29,7,13303,"AA","MIA","Miami, FL","FL","IAH","Houston, TX","TX",2156,2203,7,7,0,2357,2359,2,2,0,0,0,964,0,0,0,0,0,"American Airlines Inc.","Miami, FL: Miami International"
"11212",2019,12,2,1,13303,"AA","MIA","Miami, FL","FL","RDU","Raleigh/Durham, NC","NC",2005,2110,65,65,1,2217,2328,71,71,1,0,0,700,65,0,6,0,0,"American Airlines Inc.","Miami, FL: Miami International"
"11213",2019,12,12,4,10721,"B6","BOS","Boston, MA","MA","FLL","Fort Lauderdale, FL","FL",1718,2020,182,182,1,2050,2343,173,173,1,0,0,1237,0,0,14,0,159,"JetBlue Airways","Boston, MA: Logan International"
"11214",2019,12,10,2,13232,"WN","MDW","Chicago, IL","IL","LAS","Las Vegas, NV","NV",1520,1540,20,20,1,1725,1718,-7,0,0,0,0,1521,0,0,0,0,0,"Southwest Airlines Co.","Chicago, IL: Chicago Midway International"
"11215",2019,12,12,4,11433,"DL","DTW","Detroit, MI","MI","BWI","Baltimore, MD","MD",705,701,-4,0,0,856,849,-7,0,0,0,0,409,0,0,0,0,0,"Delta Air Lines Inc.","Detroit, MI: Detroit Metro Wayne County"
"11216",2019,12,8,7,11433,"DL","DTW","Detroit, MI","MI","CLE","Cleveland, OH","OH",2239,2232,-7,0,0,2339,2321,-18,0,0,0,0,95,0,0,0,0,0,"Delta Air Lines Inc.","Detroit, MI: Detroit Metro Wayne County"
"11217",2019,12,6,5,15016,"AA","STL","St. Louis, MO","MO","ORD","Chicago, IL","IL",735,729,-6,0,0,900,840,-20,0,0,0,0,258,0,0,0,0,0,"American Airlines Inc.","St. Louis, MO: St Louis Lambert International"
"11218",2019,12,21,6,11066,"MQ","CMH","Columbus, OH","OH","LGA","New York, NY","NY",737,732,-5,0,0,930,925,-5,0,0,0,0,479,0,0,0,0,0,"Envoy Air","Columbus, OH: John Glenn Columbus International"
"11219",2019,12,3,2,12892,"DL","LAX","Los Angeles, CA","CA","LAS","Las Vegas, NV","NV",2120,2112,-8,0,0,2234,2212,-22,0,0,0,0,236,0,0,0,0,0,"Delta Air Lines Inc.","Los Angeles, CA: Los Angeles International"
"11220",2019,12,19,4,14107,"WN","PHX","Phoenix, AZ","AZ","SFO","San Francisco, CA","CA",700,701,1,1,0,810,802,-8,0,0,0,0,651,0,0,0,0,0,"Southwest Airlines Co.","Phoenix, AZ: Phoenix Sky Harbor International"
"11221",2019,12,26,4,14057,"UA","PDX","Portland, OR","OR","DEN","Denver, CO","CO",1105,1100,-5,0,0,1433,1425,-8,0,0,0,0,991,0,0,0,0,0,"United Air Lines Inc.","Portland, OR: Portland International"
"11222",2019,12,8,7,10423,"UA","AUS","Austin, TX","TX","IAD","Washington, DC","VA",1215,1210,-5,0,0,1616,1612,-4,0,0,0,0,1297,0,0,0,0,0,"United Air Lines Inc.","Austin, TX: Austin - Bergstrom International"
"11223",2019,12,23,1,13930,"OO","ORD","Chicago, IL","IL","SAT","San Antonio, TX","TX",1930,1930,0,0,0,2247,2212,-35,0,0,0,0,1041,0,0,0,0,0,"SkyWest Airlines Inc.","Chicago, IL: Chicago O'Hare International"
"11224",2019,12,4,3,11292,"OO","DEN","Denver, CO","CO","TUS","Tucson, AZ","AZ",1905,1905,0,0,0,2110,2128,18,18,1,0,0,639,0,0,18,0,0,"SkyWest Airlines Inc.","Denver, CO: Denver International"
"11225",2019,12,28,6,11042,"UA","CLE","Cleveland, OH","OH","DEN","Denver, CO","CO",1100,1130,30,30,1,1230,1257,27,27,1,0,0,1201,0,0,27,0,0,"United Air Lines Inc.","Cleveland, OH: Cleveland-Hopkins International"
"11226",2019,12,10,2,13487,"DL","MSP","Minneapolis, MN","MN","SAN","San Diego, CA","CA",850,847,-3,0,0,1055,1020,-35,0,0,0,0,1532,0,0,0,0,0,"Delta Air Lines Inc.","Minneapolis, MN: Minneapolis-St Paul International"
"11227",2019,12,8,7,10721,"YX","BOS","Boston, MA","MA","ORD","Chicago, IL","IL",2000,1955,-5,0,0,2207,2144,-23,0,0,0,0,867,0,0,0,0,0,"Republic Airline","Boston, MA: Logan International"
"11228",2019,12,27,5,10821,"WN","BWI","Baltimore, MD","MD","PVD","Providence, RI","RI",2225,2233,8,8,0,2335,2331,-4,0,0,0,0,327,0,0,0,0,0,"Southwest Airlines Co.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall"
"11229",2019,12,2,1,11042,"UA","CLE","Cleveland, OH","OH","SFO","San Francisco, CA","CA",1917,2244,207,207,1,2146,125,219,219,1,0,0,2161,0,0,198,0,21,"United Air Lines Inc.","Cleveland, OH: Cleveland-Hopkins International"
"11230",2019,12,2,1,11433,"OO","DTW","Detroit, MI","MI","ALB","Albany, NY","NY",1015,1013,-2,0,0,1155,1241,46,46,1,0,0,489,0,0,46,0,0,"SkyWest Airlines Inc.","Detroit, MI: Detroit Metro Wayne County"
"11231",2019,12,27,5,13198,"DL","MCI","Kansas City, MO","MO","MSP","Minneapolis, MN","MN",600,557,-3,0,0,736,730,-6,0,0,0,0,393,0,0,0,0,0,"Delta Air Lines Inc.","Kansas City, MO: Kansas City International"
"11232",2019,12,23,1,11697,"WN","FLL","Fort Lauderdale, FL","FL","SAT","San Antonio, TX","TX",1655,1700,5,5,0,1915,1916,1,1,0,0,0,1145,0,0,0,0,0,"Southwest Airlines Co.","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International"
"11233",2019,12,11,3,11292,"OO","DEN","Denver, CO","CO","XNA","Fayetteville, AR","AR",2025,2018,-7,0,0,2320,2306,-14,0,0,0,0,616,0,0,0,0,0,"SkyWest Airlines Inc.","Denver, CO: Denver International"
"11234",2019,12,30,1,12266,"OO","IAH","Houston, TX","TX","DTW","Detroit, MI","MI",715,726,11,11,0,1059,1117,18,18,1,0,0,1075,11,0,7,0,0,"SkyWest Airlines Inc.","Houston, TX: George Bush Intercontinental/Houston"
"11235",2019,12,6,5,12217,"DL","HSV","Huntsville, AL","AL","ATL","Atlanta, GA","GA",1435,1429,-6,0,0,1639,1618,-21,0,0,0,0,151,0,0,0,0,0,"Delta Air Lines Inc.","Huntsville, AL: Huntsville International-Carl T Jones Field"
"11236",2019,12,11,3,10397,"DL","ATL","Atlanta, GA","GA","ORD","Chicago, IL","IL",1316,1310,-6,0,0,1424,1436,12,12,0,0,0,606,0,0,0,0,0,"Delta Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International"
"11237",2019,12,17,2,14771,"UA","SFO","San Francisco, CA","CA","DEN","Denver, CO","CO",1900,1849,-11,0,0,2231,2213,-18,0,0,0,0,967,0,0,0,0,0,"United Air Lines Inc.","San Francisco, CA: San Francisco International"
"11238",2019,12,19,4,12191,"WN","HOU","Houston, TX","TX","IND","Indianapolis, IN","IN",1610,1606,-4,0,0,1920,1902,-18,0,0,0,0,861,0,0,0,0,0,"Southwest Airlines Co.","Houston, TX: William P Hobby"
"11239",2019,12,12,4,11057,"OH","CLT","Charlotte, NC","NC","MKE","Milwaukee, WI","WI",1629,1624,-5,0,0,1739,1725,-14,0,0,0,0,651,0,0,0,0,0,"PSA Airlines Inc.","Charlotte, NC: Charlotte Douglas International"
"11240",2019,12,1,7,11057,"B6","CLT","Charlotte, NC","NC","BOS","Boston, MA","MA",710,729,19,19,1,919,950,31,31,1,0,0,728,19,0,12,0,0,"JetBlue Airways","Charlotte, NC: Charlotte Douglas International"
"11241",2019,12,23,1,10397,"DL","ATL","Atlanta, GA","GA","MCI","Kansas City, MO","MO",1909,1923,14,14,0,2026,2028,2,2,0,0,0,692,0,0,0,0,0,"Delta Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International"
"11242",2019,12,26,4,13487,"DL","MSP","Minneapolis, MN","MN","LAS","Las Vegas, NV","NV",1226,1300,34,34,1,1353,1430,37,37,1,0,0,1299,0,0,3,0,34,"Delta Air Lines Inc.","Minneapolis, MN: Minneapolis-St Paul International"
"11243",2019,12,28,6,11618,"UA","EWR","Newark, NJ","NJ","FLL","Fort Lauderdale, FL","FL",759,846,47,47,1,1106,1134,28,28,1,0,0,1065,1,0,0,0,27,"United Air Lines Inc.","Newark, NJ: Newark Liberty International"
"11244",2019,12,17,2,13930,"UA","ORD","Chicago, IL","IL","IAD","Washington, DC","VA",1815,1811,-4,0,0,2108,2058,-10,0,0,0,0,588,0,0,0,0,0,"United Air Lines Inc.","Chicago, IL: Chicago O'Hare International"
"11245",2019,12,26,4,14107,"AA","PHX","Phoenix, AZ","AZ","MEM","Memphis, TN","TN",1959,1954,-5,0,0,2358,2349,-9,0,0,0,0,1264,0,0,0,0,0,"American Airlines Inc.","Phoenix, AZ: Phoenix Sky Harbor International"
"11246",2019,12,25,3,10693,"OO","BNA","Nashville, TN","TN","IAH","Houston, TX","TX",1447,1442,-5,0,0,1718,1649,-29,0,0,0,0,657,0,0,0,0,0,"SkyWest Airlines Inc.","Nashville, TN: Nashville International"
"11247",2019,12,11,3,13232,"WN","MDW","Chicago, IL","IL","PDX","Portland, OR","OR",840,924,44,44,1,1120,1152,32,32,1,0,0,1751,8,0,0,0,24,"Southwest Airlines Co.","Chicago, IL: Chicago Midway International"
"11248",2019,12,5,4,14100,"OH","PHL","Philadelphia, PA","PA","CRW","Charleston/Dunbar, WV","WV",1016,1007,-9,0,0,1144,1124,-20,0,0,0,0,356,0,0,0,0,0,"PSA Airlines Inc.","Philadelphia, PA: Philadelphia International"
"11249",2019,12,12,4,12264,"UA","IAD","Washington, DC","VA","LAS","Las Vegas, NV","NV",815,813,-2,0,0,1022,1015,-7,0,0,0,0,2065,0,0,0,0,0,"United Air Lines Inc.","Washington, DC: Washington Dulles International"
"11250",2019,12,30,1,14771,"UA","SFO","San Francisco, CA","CA","DEN","Denver, CO","CO",1606,1557,-9,0,0,1937,2009,32,32,1,0,0,967,0,0,32,0,0,"United Air Lines Inc.","San Francisco, CA: San Francisco International"
"11251",2019,12,15,7,13930,"AA","ORD","Chicago, IL","IL","MIA","Miami, FL","FL",1200,1200,0,0,0,1608,1607,-1,0,0,0,0,1197,0,0,0,0,0,"American Airlines Inc.","Chicago, IL: Chicago O'Hare International"
"11252",2019,12,6,5,12892,"AA","LAX","Los Angeles, CA","CA","LAS","Las Vegas, NV","NV",1410,1406,-4,0,0,1522,1510,-12,0,0,0,0,236,0,0,0,0,0,"American Airlines Inc.","Los Angeles, CA: Los Angeles International"
"11253",2019,12,29,7,14711,"OO","SCE","State College, PA","PA","ORD","Chicago, IL","IL",1055,1114,19,19,1,1205,1205,0,0,0,0,0,528,0,0,0,0,0,"SkyWest Airlines Inc.","State College, PA: University Park"
"11254",2019,12,20,5,14771,"OO","SFO","San Francisco, CA","CA","ACV","Arcata/Eureka, CA","CA",2238,2311,33,33,1,2359,28,29,29,1,0,0,250,0,0,0,0,29,"SkyWest Airlines Inc.","San Francisco, CA: San Francisco International"
"11255",2019,12,5,4,11618,"YX","EWR","Newark, NJ","NJ","MSP","Minneapolis, MN","MN",751,741,-10,0,0,1004,940,-24,0,0,0,0,1008,0,0,0,0,0,"Republic Airline","Newark, NJ: Newark Liberty International"
"11256",2019,12,15,7,11298,"AA","DFW","Dallas/Fort Worth, TX","TX","SAT","San Antonio, TX","TX",1748,1743,-5,0,0,1859,1847,-12,0,0,0,0,247,0,0,0,0,0,"American Airlines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International"
"11257",2019,12,19,4,11337,"OO","DLH","Duluth, MN","MN","ORD","Chicago, IL","IL",1120,1112,-8,0,0,1319,1239,-40,0,0,0,0,397,0,0,0,0,0,"SkyWest Airlines Inc.","Duluth, MN: Duluth International"
"11258",2019,12,24,2,13930,"OO","ORD","Chicago, IL","IL","CMX","Hancock/Houghton, MI","MI",1006,1258,172,172,1,1243,1522,159,159,1,0,0,360,0,0,0,0,159,"SkyWest Airlines Inc.","Chicago, IL: Chicago O'Hare International"
"11259",2019,12,11,3,11433,"DL","DTW","Detroit, MI","MI","DCA","Washington, DC","VA",1753,1814,21,21,1,1928,1943,15,15,1,0,0,405,15,0,0,0,0,"Delta Air Lines Inc.","Detroit, MI: Detroit Metro Wayne County"
"11260",2019,12,21,6,11624,"YX","EYW","Key West, FL","FL","LGA","New York, NY","NY",1520,1520,0,0,0,1830,1806,-24,0,0,0,0,1207,0,0,0,0,0,"Republic Airline","Key West, FL: Key West International"
"11261",2019,12,21,6,13244,"YX","MEM","Memphis, TN","TN","ORD","Chicago, IL","IL",1815,1811,-4,0,0,2013,2008,-5,0,0,0,0,491,0,0,0,0,0,"Republic Airline","Memphis, TN: Memphis International"
"11262",2019,12,5,4,13930,"UA","ORD","Chicago, IL","IL","DCA","Washington, DC","VA",1500,1455,-5,0,0,1755,1752,-3,0,0,0,0,612,0,0,0,0,0,"United Air Lines Inc.","Chicago, IL: Chicago O'Hare International"
"11263",2019,12,1,7,11057,"MQ","CLT","Charlotte, NC","NC","SGF","Springfield, MO","MO",2010,2259,169,169,1,2138,21,163,163,1,0,0,708,11,0,0,0,152,"Envoy Air","Charlotte, NC: Charlotte Douglas International"
"11264",2019,12,19,4,11013,"OO","CIU","Sault Ste. Marie, MI","MI","DTW","Detroit, MI","MI",1542,1546,4,4,0,1709,1712,3,3,0,0,0,284,0,0,0,0,0,"SkyWest Airlines Inc.","Sault Ste. Marie, MI: Chippewa County International"
"11265",2019,12,5,4,13198,"WN","MCI","Kansas City, MO","MO","LAS","Las Vegas, NV","NV",2030,2036,6,6,0,2140,2133,-7,0,0,0,0,1139,0,0,0,0,0,"Southwest Airlines Co.","Kansas City, MO: Kansas City International"
"11266",2019,12,5,4,11057,"AA","CLT","Charlotte, NC","NC","CHS","Charleston, SC","SC",2028,2041,13,13,0,2137,2138,1,1,0,0,0,168,0,0,0,0,0,"American Airlines Inc.","Charlotte, NC: Charlotte Douglas International"
